id,billing_date,due_date,status,project_leader,total_hours,start_date,finish_date,employees,description,budget,client
1,2021-07-27,2023-03-28,on hold,Reilly Moyer,198,2022-11-09,2024-04-21,"2739,1711,1452,1643,2570,2445,2165,1896,1910,1905,1350,2781,2759,3446,2270,2167,1229,1110,2561,1357,1244,3042,2542,2426,3380,3301,3765",Music understand word with main table.,13630,"Moore, Carney and Williams"
2,2021-01-24,2023-02-04,completed,Kaylah Moon,78,2021-10-30,2021-05-24,"3984,1583,1584,2449,2563,2415,2981,3199,3439,3762,1158",Around president energy beat cold head.,30178,Gibson Ltd
3,2024-06-14,2020-07-09,pending,Axel Howe,233,2022-01-10,2024-01-14,"3519,2409",Job education our beyond mention.,45185,Frank-Morales
4,2021-10-21,2024-02-10,pending,Carlee French,461,2024-06-01,2021-03-12,"3996,2753,2273",Foot pattern include eight out.,7040,Coleman Ltd
5,2020-03-29,2022-02-18,pending,Angela Molina,353,2024-03-28,,"3811,1369,1849,3745,1942,1949,3185,1789,2823,3328,3532",Involve responsibility small again.,33602,Harrell PLC
6,2020-09-15,2024-02-20,completed,Angela Molina,221,2023-01-01,,"3004,3335,1700,2105,1558,3706",Eat near debate film two remain benefit.,40866,"Arnold, Salas and Roberts"
7,2020-12-05,2021-08-16,pending,Kaylah Moon,103,2024-07-14,,"2733,1684,2663,2451,1963,2958,2397,3378,1792,1323,2868,2642,3153,3623,2231,3755,2743,1021,3061,2880,2619,1150,1117,3000,2168,3853,2851,3619,2523",Admit under investment.,23220,Allen-Long
8,2023-09-18,2022-09-06,on hold,Kristen Tate,214,2020-02-09,,"1489,3654,1020,3374,1735,1643,2426,2836,1958,3732,3787",Language end talk lose stand yeah.,14992,Wilkerson Inc
9,2024-09-05,2020-09-22,active,Jaydon Blackburn,365,2020-05-18,,"3368,1568,1667,1331,2813,1127,3275,1595,1927,3742,3475,1591,1901,2570,3226,3560,2190,1021,2772,3831,1045,2404,3256,1702,3807,3695,3118,1103",Now why story watch piece lead detail.,38173,Harris-Carter
10,2023-05-07,2025-01-05,active,Gerald Preston,345,2023-09-03,2023-08-12,"2066,2900,2098,2503,2412,3118,3823,3794,2532,1139,1638,2955,2990,3761,1546,2627,3953,1077,2763,1048,2914,2389,3357,2023",Draw individual official word both mind could.,22431,"Henry, Clark and Price"
11,2022-07-20,2022-01-10,completed,Kaylah Moon,316,2020-02-12,,"1546,1124,2455,2753,1889",Between ground stand first woman.,10510,Weaver LLC
12,2020-07-04,2022-01-07,active,Gerald Preston,116,2023-01-24,2024-07-07,"2261,2330,3462,2379,3621,3764,2929,2688,1596,1904,2905",Us exist give.,43819,"Sosa, Mcgrath and Caldwell"
13,2023-10-15,2021-08-25,on hold,Kaylah Moon,236,2021-04-19,2020-09-25,"1240,3631,3950,1277,1741,2443,2285,1261,2237,2312,3300,1634,3342,2424,3718",For maintain wait something.,41510,Adams-Arias
14,2024-11-02,2020-06-04,active,Axel Howe,458,2020-07-08,,"2528,3161",Develop everyone woman under.,22863,"Clark, Mendez and Young"
15,2021-07-01,2024-10-31,pending,Reid Park,227,2023-04-30,2020-07-04,"1717,3040,3302,1507,3862,3291,1448,2179,3794,3067,2565,1869,3024,3699",Air program bit add ability history front.,45313,"Santiago, Sloan and Martinez"
16,2021-07-09,2024-04-22,on hold,Reid Park,269,2024-07-24,2021-11-30,"1856,1009,3670,1285,1045,1349,2300,3838,1888,2390,1396,3268",Beat nor girl idea nearly art.,29891,Bruce Inc
17,2023-07-05,2024-12-22,active,Jaydon Blackburn,178,2022-05-16,2024-08-10,"2573,3326,1593,2767,2215,3410,1013,2562,1840,2146,2735,2708,1649,3072,2541,1706,1123,2867,1349,3975,3454,2323,1963,3098,1382,1697",Five four responsibility suddenly behavior establish build.,24932,Figueroa Group
18,2020-03-29,2024-09-11,on hold,Kristen Tate,235,2023-09-08,,"1147,1837,1629,3608,2237,2697,1699,2004,2003,1967,3407,1038,3807,3511,1416,1741,1265,2887,3461,3010,3105",Use practice bring reach.,33825,"Logan, Ward and Robinson"
19,2021-02-06,2023-11-13,active,Angela Molina,412,2023-03-18,2023-01-20,"3180,1370,1107,2870,3806,2737,2237,3914,1612,3296,3768,1508,3562,1660,3707,3706,3555",For pick course.,13650,Reilly-Casey
20,2021-09-20,2021-10-27,pending,Mariela Schultz,229,2022-04-03,2023-11-09,"2076,2032,3385,3085,1497,1370,3104,3435,1973,1363,2622,2840,2520,3434,3421,3117,3649,3502,2907,2253,3157,2687,2749,2720,1618,3439,1143",Evening return attention.,13164,Gould PLC
21,2024-05-17,2024-12-08,active,Dheepa Nguyen,273,2021-08-26,2024-05-13,"3566,3510,1189,2073,2823,1587,2182,3739,3932,3093,3723,1466,2105,3438,2656,1971,3569,2578,2022,3413,2555",Else movement serious government provide thought boy.,29458,"Armstrong, Perry and Thornton"
22,2023-09-16,2023-03-26,on hold,Mariela Schultz,252,2020-05-30,2024-07-31,"2873,1540,2575,3594,3372,3388,3304,2672,2871,1686,2585,1086,3593,3789,3264,3839,3664,3749,3403,1532,3587,3960,2034,1517,3405,1401,2902",Up little test.,20242,Smith Group
23,2023-12-26,2023-05-19,completed,Myriam Givens,203,2020-06-06,,"3211,3017,3523,3386,3929,3659,2778,1191,2294,2558,2300,3433",Off course common call.,41681,Sanford-Howell
24,2022-07-02,2021-12-05,completed,Myriam Givens,214,2023-08-06,2024-09-12,"3293,1614,1086,3707,1144,3758,1480,1986,1229,1676,1431,2133,3678,3137,2154,3963,3052,2046,1275,3021,1245,1691,1651,1973",Blue method resource painting party name.,33074,Silva LLC
25,2020-10-13,2021-02-28,on hold,Bartholemew Khemmich,364,2021-11-16,2023-02-12,"3115,2069,3367,1393,3938,2265,1981,1919",Him instead maintain right seven officer.,42055,Porter-Cohen
26,2022-04-28,2024-08-18,pending,Kristen Tate,404,2021-07-05,2021-08-15,"3378,1088,3949,2722,1303,1054,2106,2703,3561,3303,2816,2552,3820,2513,2463,2765,3409,1475,1282,3414,2795,1493",Marriage step others.,14752,"Garcia, Foster and Moody"
27,2020-01-27,2022-05-05,pending,Bartholemew Khemmich,202,2023-10-14,2021-02-21,"3485,3469,2596,1447,2898,1032,1590,3605,3000",Own street center school happy off fear.,9076,"Armstrong, Martinez and Wallace"
28,2024-08-26,2024-11-21,pending,Reid Park,260,2020-12-21,,2210,Responsibility situation left poor.,15373,Carlson-Robinson
29,2020-01-25,2022-12-05,active,Kristen Tate,267,2020-11-08,2021-01-22,"1829,3960,3046,1409,1908,3310,1611,3970,2313",Skill dream teach father group deal.,36231,Osborne Ltd
30,2023-07-06,2024-10-06,pending,Kaylah Moon,90,2024-09-21,,"3194,3624,3733,2919,2842,1952,2750,3132,2025,3459,2333,3244,1708,2272,1589,3253,1308,2569,1430,2196,1806",Establish decade act force certain western opportunity.,43972,"Gomez, Arnold and Simmons"
31,2020-12-04,2023-09-26,pending,Bartholemew Khemmich,460,2020-05-17,2023-04-22,2921,Treat be pressure knowledge audience they garden.,35397,Collins and Sons
32,2023-04-23,2022-04-26,pending,Reid Park,172,2024-05-29,,"3484,3554,1236,3285,2500,2575,1373,1708,1014,1770,3893,2918,3128,2251,2439,3601,1004,3071",Election capital conference key check.,24235,"Whitehead, King and Buchanan"
